DATETIME, INTERNA, EXTERNA, REFERENCIA, CONTROLE
08-09-2021-17:34:03,76.375000,30.000000,72,-77
08-09-2021-17:34:07,75.875000,30.000000,72,-81
08-09-2021-17:34:12,74.875000,30.000000,72,-76
08-09-2021-17:34:16,73.812500,30.000000,72,-72
08-09-2021-17:34:20,73.312500,30.000000,72,-74
08-09-2021-17:34:24,72.312500,30.000000,72,-67
08-09-2021-17:34:28,71.812500,30.000000,72,-67
08-09-2021-17:34:32,70.937500,30.000000,72,-59
08-09-2021-17:34:37,70.000000,31.000000,72,-52
08-09-2021-17:34:41,69.625000,31.000000,72,-51
08-09-2021-17:34:45,68.875000,31.000000,72,-42
08-09-2021-17:34:49,68.250000,31.000000,72,-36
08-09-2021-17:34:53,67.937500,31.000000,72,-32
08-09-2021-17:34:57,67.687500,31.000000,72,-27
08-09-2021-17:35:02,67.687500,31.000000,72,-24
08-09-2021-17:35:06,67.562500,30.000000,72,-18
08-09-2021-17:35:10,67.500000,30.000000,72,-13
08-09-2021-17:35:14,67.437500,30.000000,72,-9
08-09-2021-17:35:18,67.250000,30.000000,72,-2
08-09-2021-17:35:22,67.125000,30.000000,72,2
08-09-2021-17:35:27,67.062500,30.000000,72,7
08-09-2021-17:35:31,66.937500,30.000000,72,13
08-09-2021-17:35:35,66.812500,30.000000,72,19
08-09-2021-17:35:39,66.687500,30.000000,72,25
08-09-2021-17:35:43,66.562500,30.000000,72,31
08-09-2021-17:35:47,66.500000,30.000000,72,36
08-09-2021-17:35:52,66.437500,30.000000,72,42
08-09-2021-17:35:56,66.500000,30.000000,72,47
08-09-2021-17:36:00,66.562500,30.000000,72,52
08-09-2021-17:36:04,66.687500,30.000000,72,56
08-09-2021-17:36:08,66.937500,30.000000,72,59
08-09-2021-17:36:12,67.062500,30.000000,72,64
08-09-2021-17:36:17,67.437500,30.000000,72,66
08-09-2021-17:36:21,67.625000,30.000000,72,70
08-09-2021-17:36:25,68.187500,30.000000,72,69
08-09-2021-17:36:29,68.750000,30.000000,72,70
08-09-2021-17:36:33,69.062500,30.000000,72,72
08-09-2021-17:36:37,69.812500,30.000000,72,69
08-09-2021-17:36:42,70.562500,30.000000,72,66
08-09-2021-17:36:46,71.000000,30.000000,72,67
08-09-2021-17:36:50,71.875000,30.000000,72,60
08-09-2021-17:36:54,72.312500,30.000000,72,60
08-09-2021-17:36:58,73.187500,30.000000,72,52
08-09-2021-17:37:02,74.062500,30.000000,72,46
08-09-2021-17:37:07,74.562500,30.000000,72,43
08-09-2021-17:37:11,75.437500,30.000000,72,33
08-09-2021-17:37:15,76.312500,30.000000,72,24
08-09-2021-17:37:19,76.750000,30.000000,72,19
08-09-2021-17:37:23,77.500000,30.000000,72,9
08-09-2021-17:37:27,77.875000,30.000000,72,3
08-09-2021-17:37:32,78.500000,30.000000,72,-7
08-09-2021-17:37:36,79.000000,30.000000,72,-16
08-09-2021-17:37:40,79.250000,30.000000,72,-23
08-09-2021-17:37:44,79.625000,30.000000,72,-33
08-09-2021-17:37:48,79.875000,30.000000,72,-42
08-09-2021-17:37:52,79.937500,30.000000,72,-49
08-09-2021-17:37:57,80.062500,30.000000,72,-58
08-09-2021-17:38:01,79.937500,30.000000,72,-64
08-09-2021-17:38:05,79.437500,30.000000,26,-100
08-09-2021-17:38:09,78.625000,30.000000,26,-100
08-09-2021-17:38:13,78.125000,30.000000,26,-100
08-09-2021-17:38:17,76.812500,30.000000,26,-100
08-09-2021-17:38:22,75.562500,30.000000,26,-100
08-09-2021-17:38:26,74.812500,30.000000,26,-100
08-09-2021-17:38:30,73.562500,30.000000,26,-100
08-09-2021-17:38:34,72.937500,30.000000,26,-100
08-09-2021-17:38:38,71.625000,30.000000,26,-100
08-09-2021-17:38:42,70.375000,30.000000,26,-100
08-09-2021-17:38:47,69.750000,31.000000,26,-100
08-09-2021-17:38:51,68.562500,30.000000,26,-100
08-09-2021-17:38:55,67.375000,31.000000,26,-100
08-09-2021-17:38:59,66.812500,31.000000,26,-100
08-09-2021-17:39:03,65.687500,31.000000,26,-100
08-09-2021-17:39:07,65.187500,31.000000,26,-100
08-09-2021-17:39:12,64.125000,31.000000,26,-100
08-09-2021-17:39:16,63.062500,31.000000,26,-100
08-09-2021-17:39:20,62.562500,31.000000,26,-100
08-09-2021-17:39:24,61.625000,31.000000,26,-100
08-09-2021-17:39:28,60.687500,31.000000,26,-100
08-09-2021-17:39:32,60.187500,31.000000,26,-100
08-09-2021-17:39:37,59.312500,31.000000,26,-100
08-09-2021-17:39:41,58.875000,31.000000,26,-100
08-09-2021-17:39:45,58.000000,31.000000,26,-100
08-09-2021-17:39:49,57.187500,31.000000,26,-100
08-09-2021-17:39:53,56.812500,31.000000,26,-100
08-09-2021-17:39:57,56.062500,31.000000,26,-100
08-09-2021-17:40:02,55.312500,31.000000,26,-100
08-09-2021-17:40:06,54.937500,31.000000,26,-100
08-09-2021-17:40:10,54.250000,31.000000,26,-100
08-09-2021-17:40:14,53.562500,31.000000,26,-100
08-09-2021-17:40:18,53.250000,31.000000,26,-100
08-09-2021-17:40:22,52.625000,31.000000,26,-100
08-09-2021-17:40:27,52.250000,31.000000,26,-100
08-09-2021-17:40:31,51.687500,31.000000,26,-100
08-09-2021-17:40:35,51.000000,31.000000,26,-100
08-09-2021-17:40:39,50.750000,31.000000,26,-100
08-09-2021-17:40:43,50.125000,31.000000,26,-100
08-09-2021-17:40:47,49.625000,31.000000,26,-100
08-09-2021-17:40:52,49.312500,31.000000,26,-100
08-09-2021-17:40:56,48.812500,31.000000,26,-100
08-09-2021-17:41:00,48.500000,31.000000,26,-100
08-09-2021-17:41:04,48.000000,31.000000,26,-100
08-09-2021-17:41:08,47.500000,31.000000,26,-100
